block_date,tx_hash,from_address,to_address,eth_amount
2024-03-20,0x854177a9926954f033acf62d5afeca46096a04006c9ce70de0e20c26855480ba,0x22a82147a80747cfb1562e0f72f6be39f18b5f76,0x40864568f679c10ac9e72211500096a5130770fa,0
2024-02-20,0xc95eed8a11ac1ef50e0aa7cd3e4af9f7ae8093aa3e4b7fec8c3e80c512a9510e,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0
2024-01-02,0xc02c1f03edb7d4208ebf3068a15dd066252bab5317b220513db993e44de11449,0xdba8bb526705c79a7518b660dd81e048ecbd6454,0xdac17f958d2ee523a2206206994597c13d831ec7,0
2024-02-21,0x782ce8714b2ba7f29d111c6a3c016c651272ec8bb4ee05a05166122fc3f0eb61,0xdf51106bdfbfcd0f5dbc9b7e63cb5ff899800cbb,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0
2024-01-10,0x6035c81f0b959360f661ea7dacc7b746672deb010d47b1c27409faf54b61467c,0x99c2310c900bd3b4fbf74cdcfc04140c47b98a63,0x97be09f2523b39b835da9ea3857cfa1d3c660cbb,0
2024-03-07,0x89decac30ca05dd4054e7f7583f62bb13538724d419f2b42f52ea9bb6310e8dd,0x1b301694918ecbe1e4c2dea89c8bf6f235d4f614,0xc36442b4a4522e871399cd717abdd847ab11fe88,1.969999999
2024-01-24,0x69e38dcd87d42f0bba20b55f78c671f9434ecf784689688241b7f6e6310c1541,0x8fae1ace41023b11aa0ac44bda992c0f52b7bba5,0xa35b1b31ce002fbf2058d22f30f95d405200a15b,0
2024-03-12,0xe800832836445e0f7a718cba6bfb739d10b1395c6a19b6f3184737fed423c884,0x050c9bf8b7fea6c5ec13ba771ca6f21a84ffb5d3,0xa97e75bc25fec1a083b814b94723bd59c2bf9ced,0.24
2024-01-19,0xe24f8ee4c44e1a0b7ad061f4b7bf1fa6eea75132623b02c5f6a20be23a6c11fa,0x26e60b0aa1eb45609a1703d809cab3b8352179b2,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0.078809618
2024-02-15,0xd13f6f5af35dbfe440679fa52b6b26fa62165b7f915aa50f9c6706226e9ea94d,0x66535a27d9b8ac3876e6718d5f2b8caa81b12070,0xb739d0895772dbb71a89a3754a160269068f0d45,0.090186011
2024-03-29,0x7bb61c7797656ab9f8d285c65fe7ad8cbb32257c70294b43131b8e28150aa4d1,0xe90300009b82c9027cff54cd45920c68cbcfc0a8,0x35f4817b14718c66dbbdba085f5f8d2c3a4aa420,0
2024-03-23,0x6655cce849ab20fccbfbe3f8bfc444434fb0d2d95812c620faf5e3582ba42fdd,0x5ad2e92f21e3e503f633ba005375105c542da5eb,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0
2024-01-19,0x09b5ca983d124cc5f79883777864ca4d4f2760d726a05eee4f7259daa0adf26e,0xdb1d6ae1a8dbbc6b2c9495ea51f81beb019743a0,0x1a404ca2f355141eb9ef1d5fe872bfc8511f19e1,0.00058096
2024-03-04,0x4c52317a3f2bd628ac33c626d9d9890d417352310c7209a961ed85a97fbab9fa,0xaf0c65d0b2988fe642822dd6b1451bf374e52ad8,0x28c6c06298d514db089934071355e5743bf21d60,0.383706482
2024-02-26,0x0f6bf4aee988fb0c7382e7022d01c6f76e8fdab93fe0dd8de9924f977f3e1742,0x76eeecf3618f5f0159c13420da8cfa09daf91950,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0
2024-02-08,0xa666933ccc319c4c3bd4b863299110800c1072afb23a70c9489f613079a91ffc,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0xee31d493396a95230e98a6a1bb2a95fb6ad69cc7,0.024622
2024-03-28,0x8b9f1c46c6cdadfc4fd0507c21a58778a5e6d34e0cf716f8bfc5cf441e17bbaa,0x88dcdd4a0a58b7e2208805d547043c37dca2b6dc,0x980dcc351ac84a4b270217663389cd78d6bcc47a,0.053196427
2024-01-03,0x151a6f45a743551187aaac333a0479057b382ab53c77bc5c956a8fee947c0d49,0xa69d42556c4b2756e048f324ff88f49d13299cea,0xc2c2389dae1bd292a2685751d5fb091c9c28a5b3,0
2024-01-21,0x64e0bdf6f98eedb9ef2bbb4f86721a0317fa6530f89d267559d7fd871121bddc,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xec1d62f44197f32571e75a7fc2920d9521008a8e,0.019305
2024-01-17,0x4f9c3a16de3b5b60a49880968f6689049615f26a6e19a45610106aa747e043bc,0x99afd53f807766a8b98400b0c785e500c041f32b,0xba100000625a3754423978a60c9317c58a424e3d,0
2024-01-17,0x7ca88058d909bebd95495b24b81ac3e2d9e9cc5eb2570a26d9bd62cdd0e1efd3,0xb74f06dbe40b9267b597926016eda8652366722f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0
2024-02-01,0x361feead6d8fbef858696b1e8e40f0c04af0a58480f567d42f3a167d41bbb226,0x5050f69a9786f081509234f1a7f4684b5e5b76c9,0xff00000000000000000000000000000000008453,0
2024-01-01,0x0e51a135cfc6cb7aaa98cfb31b677fb9f4067107c0af4f27aa3b235f924ca9d0,0x16bf43050a91805926ec9189a6ca42dffb9a9ace,0xdac17f958d2ee523a2206206994597c13d831ec7,0
2024-03-03,0xfada2478c7bab089df6b02748466476a06ebd53eed82b58c2f8779c9e199c946,0x218588edc334ce9c4520aa3f5ad69a6474c659a9,0x02ad44d8bb27b3d92d2b4cafc2f75f83ee80270b,0.006906638
2024-03-09,0x372dcff58653065683d831a4c935c94b12d87a0b9f9a0d08fccfc1e91fc9e93b,0x53a40578d6cde1c36c796cd5eaed839a0946da14,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0
2024-01-30,0xe1b6df7b0bb70d2289f955bd0935b25c68bcdf11bdf571e66f5410cdd83ddda3,0x2b8680623b35ae772164dcfbd8c3d37a430debcb,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,1
2024-03-13,0x9385f13b101362483605b2a44bdf0f055a5004ef6a28789666159cd075e93e93,0x46340b20830761efd32832a74d7169b29feb9758,0x56f0f540e1921742966690f9ab0e3d6aa8e002f4,0.025
2024-02-21,0x5c6aa3546907346d1d12c2a25414016cc5b458d68ea2749ea79c69fdd1695c87,0x719cf470b45883611df4aba9233de528850e928b,0xe18a6a48a41f41d774342d5508cc327af10838b2,0
2024-01-28,0x8ef6adcdfc85523dd358e9d24681dddac7c86142f5206cad8269a73e2a711cbc,0x265b3aaeb858f32fe18cfc28eea21977fc379f3c,0xdf30249744a419891f822ea4a9e80cd76d7fbd23,0
